1,北海道,札幌市,中央区,以下に掲載がない場合
2,北海道,札幌市,中央区,旭ケ丘
3,北海道,札幌市,中央区,大通東
4,北海道,札幌市,中央区,大通西（１～１９丁目）
5,北海道,札幌市,中央区,大通西（２０～２８丁目）
6,北海道,札幌市,中央区,北一条東
7,北海道,札幌市,中央区,北一条西（１～１９丁目）
8,北海道,札幌市,中央区,北一条西（２０～２８丁目）
9,北海道,札幌市,中央区,北二条東
10,北海道,札幌市,中央区,北二条西（１～１９丁目）
11,北海道,札幌市,中央区,北二条西（２０～２８丁目）
12,北海道,札幌市,中央区,北三条東
13,北海道,札幌市,中央区,北三条西（１～１９丁目）
14,北海道,札幌市,中央区,北三条西（２０～３０丁目）
15,北海道,札幌市,中央区,北四条東（１～８丁目）
16,北海道,札幌市,中央区,北四条西（１～１９丁目）
17,北海道,札幌市,中央区,北四条西（２０～３０丁目）
18,北海道,札幌市,中央区,北五条東
19,北海道,札幌市,中央区,北五条西（１～２４丁目）
20,北海道,札幌市,中央区,北五条西（２５～２９丁目）